player,status_a,model_path_a,mse_a,rmse_a,mae_a,r2_a,n_a,status_b,model_path_b,mse_b,rmse_b,mae_b,r2_b,n_b,delta_rmse,llm_cost_estimate,roi_rmse_per_dollar
Quentin Grimes,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Quenton Jackson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Quinten Post,missing_model,,,,,,,missing_model,,,,,,,,0.005,
RJ Barrett,missing_model,,,,,,,missing_model,,,,,,,,0.005,
RayJ Dennis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Rayan Rupert,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Reed Sheppard,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Rob Dillingham,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Robert Williams III,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ronald Holland II,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Royce O'Neale,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Rudy Gobert,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Rui Hachimura,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Russell Westbrook,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ryan Dunn,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ryan Rollins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Sam Hauser,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Sam Merrill,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Sandro Mamukelashvili,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Santi Aldama,ok,backend\models_store\Santi_Aldama_abA.pkl,32.06746627378071,5.662814342160681,5.19958908831668,-0.2165488094380352,8.0,ok,backend\models_store\Santi_Aldama_abB.pkl,33.00218449048617,5.744752778883194,5.272714088316681,-0.2520093701192145,8.0,0.08193843672251244,0.005,16.38768734450249
Scoot Henderson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Scottie Barnes,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Scotty Pippen Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Shaedon Sharpe,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Shai Gilgeous-Alexander,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Sidy Cissoko,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Simone Fontecchio,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Spencer Jones,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Stephen Curry,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Stephon Castle,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Steven Adams,ok,backend\models_store\Steven_Adams_abA.pkl,26.893927734302444,5.185935569817894,3.8293099610423695,-1.220917903219815,8.0,ok,backend\models_store\Steven_Adams_abB.pkl,26.941031917114863,5.190475114776572,3.8315599610423705,-1.22480779702626,8.0,0.004539544958678476,0.005,0.9079089917356953
Svi Mykhailiuk,missing_model,,,,,,,missing_model,,,,,,,,0.005,
T.J. McConnell,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tari Eason,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Taurean Prince,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Terance Mann,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Terrence Shannon Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Terry Rozier,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Thomas Bryant,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tidjane Salaün,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tim Hardaway Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tobias Harris,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tony Bradley,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tosan Evbuomwan,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Toumani Camara,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trae Young,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trayce Jackson-Davis,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tre Jones,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tre Mann,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trendon Watford,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trey Alexander,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trey Jemison III,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Trey Murphy III,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tristan da Silva,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ty Jerome,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyler Herro,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyler Kolek,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyrese Haliburton,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyrese Martin,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyrese Maxey,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyson Etienne,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Tyus Jones,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Victor Wembanyama,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Vince Williams Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Vít Krejčí,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Walker Kessler,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Wendell Carter Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Wendell Moore Jr.,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Xavier Tillman,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Yves Missi,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zaccharie Risacher,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zach Collins,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zach Edey,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zach LaVine,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zeke Nnaji,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Ziaire Williams,missing_model,,,,,,,missing_model,,,,,,,,0.005,
Zion Williamson,missing_model,,,,,,,missing_model,,,,,,,,0.005,
